Category,BULK PROPERTIES,,,,,,,,,,,,,,,SURFACE/PARTICLE PROPERTIES,,,,,,,,,,,,,,,,,,METHODS,,,,,,,ADSORPTION MEASUREMENT,,,,,,,,REFERENCE SPECIES,,,,,,,,,,,,,,,,,,,,,,,,ADSORPTION ENERGY,,EXTERNAL METADATA,,,INTERNAL METADATA,,,,,,Hold back from initial release?,In FY20-Q4 release?,In FY21-Q3 release?,Validated Initial,Comments
Subcategory,Bulk Formula,Elemental Formula,,,,,,Class,,,,,Lattice Constant (A),,,Nanoparticle Size,Core-Shell Composition: 1st Layer,,,,,,,Core-Shell Composition: 2nd Layer,,,,,,,Facet,Termination,Cell Symmetry,,,,,,,,Adsorbate,,,,,Coverage,,Adsorption Site,Reference Species 1,,,,,,Reference Species 2,,,,,,Reference Species 3,,,,,,Reference Species 4,,,,,,Adsorption Energy,,Notes,DOI,,Comments,Pulled By (EMN User),,,,,#REF!,,,,
Parameter,Formula,Element 1,Sequence 1,Coefficient 1,Element 2,Sequence 2,Coefficient 2,Primary Class,Secondary Class,Is Stretched,Is Compressed,Space Group,a,b,c,No. of Atoms,Name,Element 1,Sequence 1,Coefficient 1,Element 2,Sequence 2,Coefficient 2,Name,Element 1,Sequence 1,Coefficient 1,Element 2,Sequence 2,Coefficient 2,Facet,Termination,Cell Symmetry,Software,XC,Potentials,Basis Set,SpinPol,ZPE,Fixed Substrate,Formula,Molecular Formula,SMILES,NoBondSMILES,Name,Fraction,Per,Adsorption Site,Stoichiometric coefficient,Formula,Molecular Formula,SMILES,NoBondSMILES,Name,Stoichiometric coefficient,Formula,Molecular Formula,SMILES,NoBondSMILES,Name,Stoichiometric coeffcient,Formula,Molecular Formula,SMILES,NoBondSMILES,Name,Stoichiometric coefficient,Formula,Molecular Formula,SMILES,NoBondSMILES,Name,Adsorption Energy (eV),Most Stable?,Notes 1,DOI,DOI link,Comments,First Name,Last Name,Affiliation,Email,,#REF!,#REF!,#REF!,,
Data Type,String,String,Integer,Numeric,String,Integer,Numeric,String,String,Boolean,Boolean,String,Num,Num,Num,Integer,String,String,Integer,Numeric,String,Integer,Numeric,String,String,Integer,Numeric,String,Integer,Numeric,String,String,String,String,String,String,String,Boolean,Boolean,Boolean,String,String - Hill Notation,String,String,String,Num,String,String,Num,String,String - Hill Notation,String,String,String,Num,String,String - Hill Notation,String,String,String,Num,String,String - Hill Notation,String,String,String,Num,String,String - Hill Notation,String,String,String,Num,Boolean,String,String,String,String,String,,,,,,,,,
Is case sensitive?,yes,yes,,,,,,always lowercase,always lowercase,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Is required?,yes,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,yes,,,,yes,yes,yes,yes,,,,,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,yes,yes,,yes,,,yes,yes,yes,yes,,,,,,
Default value?,-,-,,,,,,-,-,FALSE,FALSE,-,-,-,-,-,-,,,,,,,-,,,,,,,-,-,-,[no data],[no data],,[no data],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TRUE,-,-,-,-,-,-,-,-,,,,,,
Web Header,adsorption_measurement.bulk_surface_property_set.bulk_surface_material.name,elemental_formula.element.symbol,elemental_formula.sequence_num,elemental_formula.element_coefficient,elemental_formula.element.symbol,elemental_formula.sequence_num,elemental_formula.element_coefficient,adsorption_measurement.bulk_surface_property_set.primary_bulk_class.name,adsorption_measurement.bulk_surface_property_set.secondary_bulk_class.name,adsorption_measurement.bulk_surface_property_set.is_stretched,adsorption_measurement.bulk_surface_property_set.is_compressed,adsorption_measurement.bulk_surface_property_set.space_group,adsorption_measurement.bulk_surface_property_set.lattice_constant.lattice_constant_1,adsorption_measurement.bulk_surface_property_set.lattice_constant.lattice_constant_2,adsorption_measurement.bulk_surface_property_set.lattice_constant.lattice_constant_3,adsorption_measurement.bulk_surface_property_set.nano_number_of_atoms,adsorption_measurement.bulk_surface_property_set.first_layer_composition.bulk_surface_material.name,elemental_formula.element.symbol,elemental_formula.sequence_num,elemental_formula.element_coefficient,elemental_formula.element.symbol,elemental_formula.sequence_num,elemental_formula.element_coefficient,adsorption_measurement.bulk_surface_property_set.second_layer_composition.bulk_surface_material.name,elemental_formula.element.symbol,elemental_formula.sequence_num,elemental_formula.element_coefficient,elemental_formula.element.symbol,elemental_formula.sequence_num,elemental_formula.element_coefficient,adsorption_measurement.bulk_surface_property_set.facet.name,adsorption_measurement.bulk_surface_property_set.termination,adsorption_measurement.bulk_surface_property_set.cell_symmetry.name,adsorption_measurement.method.software,adsorption_measurement.method.exchange_correlation,adsorption_measurement.method.potentials,adsorption_measurement.method.basis_set,adsorption_measurement.method.is_spin_polarization,adsorption_measurement.method.is_zero_point_energy,adsorption_measurement.method.is_fixed_substrate,adsorption_measurement.adsorbate_species.formula,adsorption_measurement.adsorbate_species.molecular_formula,adsorption_measurement.adsorbate_species.smiles,adsorption_measurement.adsorbate_species.no_bond_smiles,adsorption_measurement.adsorbate_species.name,adsorption_measurement.adsorbate_fraction.fraction,adsorption_measurement.adsorbate_fraction.unit,adsorption_measurement.adsorption_site.site_name,adsorption_measurement.adsorption_reference_species_set.0.reference_coefficient,adsorption_measurement.adsorption_reference_species_set.0.species.formula,adsorption_measurement.adsorption_reference_species_set.0.species.molecular_formula,adsorption_measurement.adsorption_reference_species_set.0.species.smiles,adsorption_measurement.adsorption_reference_species_set.0.species.no_bond_smiles,adsorption_measurement.adsorption_reference_species_set.0.species.name,adsorption_measurement.adsorption_reference_species_set.1.reference_coefficient,adsorption_measurement.adsorption_reference_species_set.1.species.formula,adsorption_measurement.adsorption_reference_species_set.1.species.molecular_formula,adsorption_measurement.adsorption_reference_species_set.1.species.smiles,adsorption_measurement.adsorption_reference_species_set.1.species.no_bond_smiles,adsorption_measurement.adsorption_reference_species_set.1.species.name,adsorption_measurement.adsorption_reference_species_set.2.reference_coefficient,adsorption_measurement.adsorption_reference_species_set.2.species.formula,adsorption_measurement.adsorption_reference_species_set.2.species.molecular_formula,adsorption_measurement.adsorption_reference_species_set.2.species.smiles,adsorption_measurement.adsorption_reference_species_set.2.species.no_bond_smiles,adsorption_measurement.adsorption_reference_species_set.2.species.name,adsorption_measurement.adsorption_reference_species_set.3.reference_coefficient,adsorption_measurement.adsorption_reference_species_set.3.species.formula,adsorption_measurement.adsorption_reference_species_set.3.species.molecular_formula,adsorption_measurement.adsorption_reference_species_set.3.species.smiles,adsorption_measurement.adsorption_reference_species_set.3.species.no_bond_smiles,adsorption_measurement.adsorption_reference_species_set.3.species.name,adsorption_measurement.adsorption_energy,adsorption_measurement.is_most_stable_site,adsorption_measurement.external_note,adsorption_measurement.doi,N/A,adsorption_measurement.internal_note,adsorption_measurement.emn_user.first_name,adsorption_measurement.emn_user.last_name,adsorption_measurement.emn_user.affiliation,adsorption_measurement.emn_user.email,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pd,Pd,1,1,,,,Transition metal,,FALSE,FALSE,Fm3m,3.885,,,,,,,,,,,,,,,,,,(111),Pd,,VASP,PBE-D3,projector augmented wave,plane wave,TRUE,TRUE,FALSE,CO,CO,[C]#[O],[C][O],carbon monoxide,1/22,Pd,fcc,1,CO,CO,[C]#[O],[C][O],carbon monoxide,,,,,,,,,,,,,,,,,,,-2.15,TRUE,,10.1021/acscatal.1c02101,https://doi.org/10.1021/acscatal.1c02101,,Sean,Tacey,NREL,Sean.Tacey@nrel.gov
,Pd,Pd,1,1,,,,Transition metal,,FALSE,FALSE,Fm3m,3.885,,,,,,,,,,,,,,,,,,(111),Pd,,VASP,PBE-D3,projector augmented wave,plane wave,TRUE,TRUE,FALSE,H,H,[H],[H],"hydrogen, atomic",1/22,Pd,fcc,0.5,H2,H2,[H][H],[H][H],hydrogen,,,,,,,,,,,,,,,,,,,-0.61,TRUE,,10.1021/acscatal.1c02101,https://doi.org/10.1021/acscatal.1c02101,,Sean,Tacey,NREL,Sean.Tacey@nrel.gov
